128位	128位元
電勢	電位
電子云	電子雲
電子偶素	正子電子偶
電子表格	電子試算表
電弱相互作用	電弱交互作用
電源保護	不斷電系統
電腦產生圖像	電腦合成影像
電訊供應商	電信業者
電訊公司	電信公司
電訊商	電信商
電訊服務	電信服務
電訊業	電信業
電訊行業	電信行業
電負性	電負度
電郵	電子郵件
電離	游離
電離能	游離能
電離輻射	游離輻射
電鰩	電鱝
靜態類型	靜態型別
非典	SARS
非參數	無母數
非甾體抗炎藥	非類固醇抗發炎藥
面向代理編程	代理人導向程式設計
面向堆棧	堆疊導向
面向對象	物件導向
面向對象編程	物件導向程式設計
面向并發	平行導向
面向文檔	文件導向
面向消息	訊息導向
面向消息的中間件	訊息導向中介層
面向語言的程序設計	語言導向程式設計
面向過程	程序導向
面向類	類別導向
面天原指樹蛙	面天樹蛙
面簿	臉書
鞘氨醇	鞘胺醇
鞘腹蛛屬	鞘腹姬蛛屬
音頻	音訊
音頻文件	音訊檔
音頻文檔	音訊檔
音頻檔	音訊檔
音頻軌	音訊軌
音頻輸入	音訊輸入
音頻輸出	音訊輸出
頁眉	頁首
頁腳	頁尾
項目	專案
項目頁	計畫頁
順序規則	序列法則
預處理器	前處理器
頭孢噻呋	畜福
頭文件	標頭檔 標頭檔案
頻分多址	分頻多重進接
頻分複用	分頻多工
頻哪醇	嚬哪醇
顆粒白血球	顆粒球
類加載器	類別載入器
類型	型別
類型檢查	型別檢查
類型系統	型別系統
類域	類體
類定義	類別定義
類實例	類別實例
類庫	類別館
類成員	類別成員
類方法	類別方法
類模板	類別模板 類别範本
類的實例	類別的實例
類的搆造函數	類別的建構函數
類的析搆函數	類別的破壞函數
類聲明	類別宣告
類變量	類別變數
顯像管	映像管 映象管
顯卡	顯示卡
顯存	視訊記憶體
顯著性水平	顯著水準
顯著水平	顯著水準
風河	溫瑞爾
風疹疫苗	德國麻疹疫苗
飛兆半導體	快捷半導體
飛虱科	稻蝨科
飛行模式	飛航模式
食欲肽	食慾素
食管	食道
首席信息官	資訊長
首席執行官	執行長
首席技朮官	技術長
首席技術官	技術長
首席運營官	營運長
首選項	偏好設定
香菇多糖	蘑菇多糖
馬氏規則	馬可尼可夫法則
馬爾可夫	馬可夫
馬爾科夫尼科夫	馬可尼可夫
馬蹄蓮	海芋
騰訊云計算	騰訊雲計算
驅動程序	驅動程式
骨痛熱症	登革熱
體外膜氧合	葉克膜
體細胞高頻突變	體細胞超突變
高保真	高傳真
高性能計算	高效能運算
高氙酸	過氙酸
高氯酸	過氯酸
高清	高畫質
高清多媒體介面	高畫質多媒體介面
高清多媒體界面	高畫質多媒體介面
高清音質	高音質
高清音頻	高音質音訊
高溴酸	過溴酸
高爾基	高基
高爾基體	高基氏體
高碘酸	過碘酸
高端	高階 進階
高級	進階
高級	高階 進階 高級
高級編程語言	高階程式語言
高級語言	高階語言
高速緩存	快取記憶體
高速緩沖存儲器	高速緩衝記憶體
高錳酸	過錳酸
高錸酸	過錸酸
高鍀酸	過鎝酸
高鐵酸	鐵酸
鮑爾默	巴爾默
鰓蛤莫蛛	鰓蛤蟆蛛
鴨子類型	鴨子型別
鸞鳳玉	多蕊仙人球
鹵代炔	鹵炔
鹵代炔烴	鹵炔
鹵代烯	鹵烯
鹵代烯烴	鹵烯
鹵代烷	鹵烷
鹵代烷烴	鹵烷
麒麟葉	拎樹藤
麒麟葉屬	拎樹藤屬
麗木虱	麗木蝨
麗蛛屬	金姬蛛屬
麥克斯韋	馬克士威
麥芽酚	麥芽醇
麥賽爾森	梅瑟生
麻哈魚屬	鉤吻鮭屬
麻腮	麻疹腮腺炎
麻腮風	麻疹腮腺炎德國麻疹
麻腮風三聯	麻疹腮腺炎德國麻疹混合
麻風疫苗	麻疹德國麻疹疫苗
黃蛋白反應	薑黃反應
黑客	駭客
黑屏	黑畫面
黑盒測試	黑箱測試
黑貓跳蛛	橙黃蠅虎
默認	預設
默認值	預設值
點對點	對等
點擊	點選
鼠標	滑鼠
龍虱	龍蝨
鿔	鎶
鿭	鉨
