# Open Chinese Convert (OpenCC) Dictionary
# File: TSCharacters.txt
# Format: key	value(s) (values separated by spaces)
# License: Apache-2.0 (see LICENSE)
# Source: https://github.com/ByVoid/OpenCC
# Used in configs: hk2s.json, t2s.json, tw2s.json, tw2sp.json
#
# Audit notes for rare inferred simplified forms:
# Lines tagged @tofu-risk keep the original character as the default candidate.
# Their rare inferred simplified forms may render as tofu on mainstream default
# fonts, so they are generated into TSCharactersExt.txt as a separate table.

# @tofu-risk: not covered by PingFang/Source Han baseline: 𫝈 U+2B748
㑮	㑮 𫝈
蕁	荨
蕆	蒇
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫈵 U+2B235
蕝	蕝 𫈵
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫈉 U+2B209
蕳	蕳 𫈉
蕷	蓣
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫇽 U+2B1FD
蕽	蕽 𫇽
薀	蕰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫉁 U+2B241
薆	薆 𫉁
薈	荟
薊	蓟
薌	芗
薑	姜
薔	蔷
薘	荙
薟	莶
薦	荐
薩	萨
薳	䓕
薴	苧
薵	䓓
薹	苔 薹
薺	荠
藉	藉 借
藍	蓝
藎	荩
藝	艺
藥	药
藪	薮
藭	䓖
藴	蕴
藶	苈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫉄 U+2B244
藷	藷 𫉄
藹	蔼
藺	蔺
蘀	萚
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	苹 𬞟
蘚	藓
蘞	蔹
蘟	𦻕
蘢	茏
蘭	兰
蘺	蓠
蘿	萝
虆	蔂
虉	𬟁
處	处
虛	虚
虜	虏
號	号
虧	亏
虯	虬
蛺	蛱
蛻	蜕
蜆	蚬
蝀	𬟽
蝕	蚀
蝟	猬
蝦	虾
蝨	虱
蝸	蜗
螄	蛳
螞	蚂
螢	萤
螮	䗖
螻	蝼
螿	螀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫋇 U+2B2C7
蟂	蟂 𫋇
蟄	蛰
蟈	蝈
蟎	螨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫋌 U+2B2CC
蟘	蟘 𫋌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫊸 U+2B2B8
蟜	蟜 𫊸
蟣	虮
蟬	蝉
蟯	蛲
蟲	虫
蟳	𫊻
蟶	蛏
蟻	蚁
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧏗 U+273D7
蠀	蠀 𧏗
蠁	蚃
蠅	蝇
蠆	虿
蠍	蝎
蠐	蛴
蠑	蝾
蠔	蚝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧏖 U+273D6
蠙	蠙 𧏖
蠟	蜡
蠣	蛎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫊮 U+2B2AE
蠦	蠦 𫊮
蠨	蟏
蠱	蛊
蠶	蚕
蠻	蛮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧑏 U+2744F
蠾	蠾 𧑏
衆	众
衊	蔑
術	术
衕	同
衚	胡
衛	卫
衝	冲
衹	衹 只
袞	衮
袷	夹 袷
裊	袅
裏	里
補	补
裝	装
裡	里
製	制
複	复
褌	裈
褘	袆
褲	裤
褳	裢
褸	褛
褻	亵
襀	𫌀
襇	裥
襉	裥
襏	袯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫋹 U+2B2F9
襓	襓 𫋹
襖	袄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫋷 U+2B2F7
襗	襗 𫋷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫋻 U+2B2FB
襘	襘 𫋻
襝	裣
襠	裆
襤	褴
襪	袜
襬	摆 䙓
襯	衬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧝝 U+2775D
襰	襰 𧝝
襲	袭
襴	襕
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫌇 U+2B307
襵	襵 𫌇
覆	覆 复
覈	核
見	见
覎	觃
規	规
覓	觅
視	视
覘	觇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫌪 U+2B32A
覛	覛 𫌪
覡	觋
覥	觍
覦	觎
親	亲
覬	觊
覯	觏
覲	觐
覷	觑
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫌭 U+2B32D
覹	覹 𫌭
覺	觉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫌨 U+2B328
覼	覼 𫌨
覽	览
覿	觌
觀	观
觴	觞
觶	觯
觸	触
訁	讠
訂	订
訃	讣
計	计
訊	讯
訌	讧
討	讨
訏	𬣙
訐	讦
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍙 U+2B359
訑	訑 𫍙
訒	讱
訓	训
訕	讪
訖	讫
託	托 讬
記	记
訛	讹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍛 U+2B35B
訜	訜 𫍛
訝	讶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍚 U+2B35A
訞	訞 𫍚
訟	讼
訢	䜣 欣
訣	诀
訥	讷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟞 U+2B7DE
訨	訨 𫟞
訩	讻
訪	访
設	设
許	许
訴	诉
訶	诃
診	诊
註	注
証	证
詀	𧮪
詁	诂
詆	诋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟟 U+2B7DF
詊	詊 𫟟
詎	讵
詐	诈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍡 U+2B361
詑	詑 𫍡
詒	诒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍜 U+2B35C
詓	詓 𫍜
詔	诏
評	评
詖	诐
詗	诇
詘	诎
詛	诅
詝	𬣞
詞	词
詠	咏
詡	诩
詢	询
詣	诣
試	试
詩	诗
詪	𬣳
詫	诧
詬	诟
詭	诡
詮	诠
詰	诘
話	话
該	该
詳	详
詵	诜
詷	𫍣
詼	诙
詿	诖
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍥 U+2B365
誂	誂 𫍥
誄	诔
誅	诛
誆	诓
誇	夸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍪 U+2B36A
誋	誋 𫍪
誌	志
認	认
誑	诳
誒	诶
誕	诞
誘	诱
誚	诮
語	语
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誨	诲
說	说
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍨 U+2B368
誫	誫 𫍨
説	说
誰	谁
課	课
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍮 U+2B36E
誳	誳 𫍮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟡 U+2B7E1
誴	誴 𫟡
誶	谇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍬 U+2B36C
誷	誷 𫍬
誹	诽
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍧 U+2B367
誺	誺 𫍧
誼	谊
誾	訚
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諏	诹
諑	诼
諒	谅
諓	𬣡
論	论
諗	谂
諛	谀
諜	谍
諝	谞
諞	谝
諟	𬤊
諡	谥
諢	诨
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍩 U+2B369
諣	諣 𫍩
諤	谔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍳 U+2B373
諥	諥 𫍳
諦	谛
諧	谐
諫	谏 𫍝
諭	谕
諮	咨 谘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍱 U+2B371
諯	諯 𫍱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍰 U+2B370
諰	諰 𫍰
諱	讳
諲	𬤇
諳	谙
諴	𫍯
諶	谌
諷	讽
諸	诸
諺	谚
諼	谖
諾	诺
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍸 U+2B378
謆	謆 𫍸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍷 U+2B377
謉	謉 𫍷
謊	谎
謎	谜
謏	𫍲
謐	谧
謔	谑
謖	谡
謗	谤
謙	谦
謚	谥
講	讲
謝	谢
謠	谣
謡	谣
謨	谟
謫	谪
謬	谬
謭	谫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍹 U+2B379
謯	謯 𫍹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍴 U+2B374
謱	謱 𫍴
謳	讴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍵 U+2B375
謸	謸 𫍵
謹	谨
謾	谩
譁	哗
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟠 U+2B7E0
譂	譂 𫟠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𰶎 U+30D8E
譅	譅 𰶎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍻 U+2B37B
譆	譆 𫍻
證	证
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍢 U+2B362
譊	譊 𫍢
譎	谲
譏	讥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍤 U+2B364
譑	譑 𫍤
譓	𬤝
譖	谮
識	识
譙	谯
譚	谭
譜	谱
譞	𫍽
譟	噪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫍦 U+2B366
譨	譨 𫍦
譫	谵
譭	毁
譯	译
議	议
譴	谴
護	护
譸	诪
譽	誉
譾	谫 𫍿
讀	读
讅	谉
變	变
讋	詟
讌	䜩
讎	雠 仇
讒	谗
讓	让
讕	谰
讖	谶
讚	赞
讜	谠
讞	谳
谿	溪 谿
豈	岂
豎	竖
豐	丰
豔	艳
豬	猪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎆 U+2B386
豵	豵 𫎆
豶	豮
貍	狸
貓	猫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎌 U+2B38C
貗	貗 𫎌
貙	䝙
貝	贝
貞	贞
貟	贠
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
責	责
貯	贮
貰	贳
貲	赀 资
貳	贰
貴	贵
貶	贬
買	买 𧹒
貸	贷
貺	贶
費	费
貼	贴
貽	贻
貿	贸
賀	贺
賁	贲
賂	赂
賃	赁
賄	贿
賅	赅
資	资
賈	贾
賊	贼
賑	赈
賒	赊
賓	宾
賕	赇
賙	赒
賚	赉
賜	赐
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎩 U+2B3A9
賝	賝 𫎩
賞	赏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧹖 U+27E56
賟	賟 𧹖
賠	赔
賡	赓
賢	贤
賣	卖
賤	贱
賦	赋
賧	赕
質	质
賫	赍
賬	账
賭	赌
賰	䞐
賴	赖
賵	赗
賺	赚
賻	赙
購	购
賽	赛
賾	赜
# @tofu-risk: not covered by PingFang/Source Han baseline: 𧹗 U+27E57
贃	贃 𧹗
贄	贽
贅	赘
贇	赟
贈	赠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎫 U+2B3AB
贉	贉 𫎫
贊	赞
贋	赝
贍	赡
贏	赢
贐	赆
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎬 U+2B3AC
贑	贑 𫎬
贓	赃
贔	赑
贖	赎
贗	赝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫎦 U+2B3A6
贚	贚 𫎦
贛	赣
贜	赃
赬	赪
趕	赶
趙	赵
趨	趋
趲	趱
跡	迹
踐	践
踰	逾
踴	踊
蹌	跄
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏐 U+2B3D0
蹔	蹔 𫏐
蹕	跸
蹟	迹
蹠	跖
蹣	蹒
蹤	踪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏆 U+2B3C6
蹳	蹳 𫏆
蹺	跷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫏋 U+2B3CB
蹻	蹻 𫏋
躂	跶
躉	趸
躊	踌
躋	跻
躍	跃
躎	䟢
躑	踯
躒	跞
躓	踬
躕	蹰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨀁 U+28001
躘	躘 𨀁
躚	跹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨅬 U+2816C
躝	躝 𨅬
躡	蹑
躥	蹿
躦	躜
躪	躏
軀	躯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨉗 U+28257
軉	軉 𨉗
車	车
軋	轧
軌	轨
軍	军
軏	𫐄
軑	轪
軒	轩
軔	轫
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐅 U+2B405
軕	軕 𫐅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨐅 U+28405
軗	軗 𨐅
軛	轭
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐇 U+2B407
軜	軜 𫐇
軝	𬨂
軟	软
軤	轷
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐉 U+2B409
軨	軨 𫐉
軫	轸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐊 U+2B40A
軬	軬 𫐊
軲	轱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐈 U+2B408
軷	軷 𫐈
軸	轴
軹	轵
軺	轺
軻	轲
軼	轶
軾	轼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐌 U+2B40C
軿	軿 𫐌
較	较
輄	𨐈
輅	辂
輇	辁
輈	辀
載	载
輊	轾
輋	𪨶
輒	辄
輓	挽
輔	辅
輕	轻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐏 U+2B40F
輖	輖 𫐏
輗	𫐐
輛	辆
輜	辎
輝	辉
輞	辋
輟	辍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐎 U+2B40E
輢	輢 𫐎
輥	辊
輦	辇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐑 U+2B411
輨	輨 𫐑
輩	辈
輪	轮
輬	辌
輮	𫐓
輯	辑
輳	辏
輶	𬨎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐒 U+2B412
輷	輷 𫐒
輸	输
輻	辐
輼	辒
輾	辗
輿	舆
轀	辒
轂	毂
轄	辖
轅	辕
轆	辘
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐖 U+2B416
轇	轇 𫐖
轉	转
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐕 U+2B415
轊	轊 𫐕
轍	辙
轎	轿
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐗 U+2B417
轐	轐 𫐗
轔	辚
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐘 U+2B418
轗	轗 𫐘
轟	轰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐙 U+2B419
轠	轠 𫐙
轡	辔
轢	轹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐆 U+2B406
轣	轣 𫐆
轤	轳
辦	办
辭	辞
辮	辫
辯	辩
農	农
迴	回
迺	迺 乃
逕	径 迳
這	这
連	连
週	周
進	进
遊	游
運	运
過	过
達	达
違	违
遙	遥
遜	逊
遞	递
遠	远
遡	溯
適	适
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫐷 U+2B437
遱	遱 𫐷
遲	迟
遶	绕
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邇	迩
邊	边
邏	逻
邐	逦
邨	邨 村
郟	郏
郵	邮
鄆	郓
鄉	乡
鄒	邹
鄔	邬
鄖	郧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫑘 U+2B458
鄟	鄟 𫑘
鄧	邓
鄩	𬩽
鄭	郑
鄰	邻
鄲	郸
鄳	𫑡
鄴	邺
鄶	郐
鄺	邝
酇	酂
酈	郦
醃	腌
醖	酝
醜	丑
醞	酝
醟	蒏
醣	糖
醫	医
醬	酱
醱	酦
醲	𬪩
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫑷 U+2B477
醶	醶 𫑷
釀	酿
釁	衅
釃	酾
釅	酽
釋	释
釐	厘 釐
釒	钅
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟲 U+2B7F2
釚	釚 𫟲
針	针
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓥 U+2B4E5
釟	釟 𫓥
釣	钓
釤	钐
釦	扣
釧	钏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓦 U+2B4E6
釨	釨 𫓦
釩	钒
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟳 U+2B7F3
釲	釲 𫟳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨰿 U+28C3F
釳	釳 𨰿
釴	𬬩
釵	钗
釷	钍
釹	钕
釺	钎
釾	䥺
釿	𬬱
鈀	钯
鈁	钫
鈃	钘
鈄	钭
鈅	钥
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓪 U+2B4EA
鈆	鈆 𫓪
鈇	𫓧
鈈	钚
鈉	钠
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱂 U+28C42
鈋	鈋 𨱂
鈍	钝
鈎	钩
鈐	钤
鈑	钣
鈒	钑
鈔	钞
鈕	钮
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟴 U+2B7F4
鈖	鈖 𫟴
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟵 U+2B7F5
鈗	鈗 𫟵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓨 U+2B4E8
鈛	鈛 𫓨
鈞	钧
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱁 U+28C41
鈠	鈠 𨱁
鈡	钟
鈣	钙
鈥	钬
鈦	钛
鈧	钪
鈮	铌
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱄 U+28C44
鈯	鈯 𨱄
鈰	铈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱃 U+28C43
鈲	鈲 𨱃
鈳	钶
鈴	铃
鈷	钴
鈸	钹
鈹	铍
鈺	钰
鈽	钸
鈾	铀
鈿	钿
鉀	钾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱅 U+28C45
鉁	鉁 𨱅
鉅	巨 钜
鉆	钻
鉈	铊
鉉	铉
鉊	𬬿
鉋	铇
鉍	铋
鉑	铂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓬 U+2B4EC
鉔	鉔 𫓬
鉕	钷
鉗	钳
鉚	铆
鉛	铅
鉝	𫟷
鉞	钺
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓭 U+2B4ED
鉠	鉠 𫓭
鉢	钵
鉤	钩
鉥	𬬸
鉦	钲
鉧	𬭁
鉬	钼
鉭	钽
鉮	𬬹
鉳	锫
鉶	铏
鉷	𫟹
鉸	铰
鉺	铒
鉻	铬
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟸 U+2B7F8
鉽	鉽 𫟸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓴 U+2B4F4
鉾	鉾 𫓴
鉿	铪
銀	银
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓲 U+2B4F2
銁	銁 𫓲
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟻 U+2B7FB
銂	銂 𫟻
銃	铳
銅	铜
銈	𫓯
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓰 U+2B4F0
銊	銊 𫓰
銍	铚
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟶 U+2B7F6
銏	銏 𫟶
銑	铣
銓	铨
銖	铢
銘	铭
銚	铫
銛	铦
銜	衔
銠	铑
銣	铷
銥	铱
銦	铟
銨	铵
銩	铥
銪	铕
銫	铯
銬	铐
銱	铞
銳	锐
銶	𨱇
銷	销
銹	锈
銻	锑
銼	锉
鋁	铝
# @tofu-risk: not covered by PingFang/Source Han baseline: 𰾄 U+30F84
鋂	鋂 𰾄
鋃	锒
鋅	锌
鋇	钡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱈 U+28C48
鋉	鋉 𨱈
鋌	铤
鋏	铗
鋐	𬭎
鋒	锋
鋗	𫓶
鋙	铻
鋝	锊
鋟	锓
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓵 U+2B4F5
鋠	鋠 𫓵
鋣	铘
鋤	锄
鋥	锃
鋦	锔
鋨	锇
鋩	铓
鋪	铺
鋭	锐
鋮	铖
鋯	锆
鋰	锂
鋱	铽
鋶	锍
鋸	锯
鋹	𬬮
鋼	钢
錀	𬬭
錁	锞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱋 U+28C4B
錂	錂 𨱋
錄	录
錆	锖
錇	锫
錈	锩
錏	铔
錐	锥
錒	锕
錕	锟
錘	锤
錙	锱
錚	铮
錛	锛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓻 U+2B4FB
錜	錜 𫓻
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓽 U+2B4FD
錝	錝 𫓽
錞	𬭚
錟	锬
錠	锭
錡	锜
錢	钱
錤	𫓹
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓾 U+2B4FE
錥	錥 𫓾
錦	锦
錨	锚
錩	锠
錫	锡
錮	锢
錯	错
録	录
錳	锰
錶	表
錸	铼
錼	镎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓸 U+2B4F8
錽	錽 𫓸
鍀	锝
鍁	锨
鍃	锪
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱉 U+28C49
鍄	鍄 𨱉
鍅	钫
鍆	钔
鍇	锴
鍈	锳
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔂 U+2B502
鍉	鍉 𫔂
鍊	炼 链 𫔀
鍋	锅
鍍	镀
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔄 U+2B504
鍒	鍒 𫔄
鍔	锷
鍘	铡
鍚	钖
鍛	锻
鍠	锽
鍤	锸
鍥	锲
鍩	锘
鍬	锹
鍭	𬭤
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱎 U+28C4E
鍮	鍮 𨱎
鍰	锾
鍵	键
鍶	锶
鍺	锗
鍼	针
鍾	钟 锺
鎂	镁
鎄	锿
鎇	镅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫟿 U+2B7FF
鎈	鎈 𫟿
鎊	镑
鎌	镰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔅 U+2B505
鎍	鎍 𫔅
鎓	𬭩
鎔	镕
鎖	锁
鎘	镉
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔈 U+2B508
鎙	鎙 𫔈
鎚	锤
鎛	镈
鎝	𨱏
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔇 U+2B507
鎞	鎞 𫔇
鎡	镃
鎢	钨
鎣	蓥
鎦	镏
鎧	铠
鎩	铩
鎪	锼
鎬	镐
鎭	镇
鎮	镇
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱍 U+28C4D
鎯	鎯 𨱍
鎰	镒
鎲	镋
鎳	镍
鎵	镓
鎶	鿔
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨰾 U+28C3E
鎷	鎷 𨰾
鎸	镌
鎿	镎
鏃	镞
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱌 U+28C4C
鏆	鏆 𨱌
鏇	旋 镟
鏈	链
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱒 U+28C52
鏉	鏉 𨱒
鏌	镆
鏍	镙
鏏	𬭬
鏐	镠
鏑	镝
鏗	铿
鏘	锵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𬭭 U+2CB6D
鏚	鏚 𬭭
鏜	镗
鏝	镘
鏞	镛
鏟	铲
鏡	镜
鏢	镖
鏤	镂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔊 U+2B50A
鏥	鏥 𫔊
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓩 U+2B4E9
鏦	鏦 𫓩
鏨	錾
鏰	镚
鏵	铧
鏷	镤
鏹	镪
鏺	䥽
鏻	𬭸
鏽	锈
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔌 U+2B50C
鏾	鏾 𫔌
鐃	铙
鐄	𨱑
鐇	𫔍
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓱 U+2B4F1
鐈	鐈 𫓱
鐋	铴
鐍	𫔎
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨱓 U+28C53
鐎	鐎 𨱓
鐏	𨱔
鐐	镣
鐒	铹
鐓	镦
鐔	镡
鐘	钟
鐙	镫
鐝	镢
鐠	镨
鐥	䦅
鐦	锎
鐧	锏
鐨	镄
鐩	𬭼
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫓺 U+2B4FA
鐪	鐪 𫓺
鐫	镌
鐮	镰
鐯	䦃
鐲	镯
鐳	镭
鐵	铁
鐶	镮
鐸	铎
鐺	铛
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔁 U+2B501
鐼	鐼 𫔁
鐽	𫟼
鐿	镱
# @tofu-risk: not covered by PingFang/Source Han baseline: 𰾭 U+30FAD
鑀	鑀 𰾭
鑄	铸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠁 U+2B801
鑉	鑉 𫠁
鑊	镬
鑌	镔
鑑	鉴
鑒	鉴
鑔	镲
鑕	锧
鑞	镴
鑠	铄
鑣	镳
鑥	镥
鑪	𬬻 炉
鑭	镧
鑰	钥
鑱	镵
鑲	镶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔔 U+2B514
鑴	鑴 𫔔
鑷	镊
鑹	镩
鑼	锣
鑽	钻
鑾	銮
鑿	凿
钁	镢 䦆
钂	镋
長	长
門	门
閂	闩
閃	闪
閆	闫
閈	闬
閉	闭
開	开 𫔭
閌	闶
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸂 U+28E02
閍	閍 𨸂
閎	闳
閏	闰
# @tofu-risk: not covered by PingFang/Source Han baseline: 𨸃 U+28E03
閐	閐 𨸃
閑	闲
閒	闲 𫔮
間	间
閔	闵
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔯 U+2B52F
閗	閗 𫔯
閘	闸
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫠂 U+2B802
閝	閝 𫠂
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔰 U+2B530
閞	閞 𫔰
閡	阂
閣	阁
閤	合
閥	阀
閨	闺
閩	闽
閫	阃
閬	阆
閭	闾
閱	阅
閲	阅
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫔴 U+2B534
閵	閵 𫔴
閶	阊
閹	阉
閻	阎
閼	阏
閽	阍
閾	阈
閿	阌
闃	阒
闆	板
闇	暗
闈	闱
闉	𬮱
闊	阔
闋	阕
闌	阑
闍	阇
闐	阗
闑	𫔶
闒	阘
闓	闿
闔	阖
闕	阙
闖	闯
關	关
闞	阚
闠	阓
闡	阐
闢	辟
闤	阛
闥	闼
阪	阪 坂
陘	陉
陝	陕
陞	升 陞
陣	阵
陰	阴
陳	陈
陸	陆
陽	阳
隉	陧
隊	队
階	阶
隑	𬮿
隕	陨
際	际
隤	𬯎
隨	随
險	险
隮	𬯀
隯	陦
隱	隐
隴	陇
隸	隶
隻	只
雋	隽
雖	虽
雙	双
雛	雏
雜	杂
雞	鸡
離	离
難	难
雲	云
電	电
霑	沾
霢	霡
# @tofu-risk: not covered by PingFang/Source Han baseline: 𫕥 U+2B565
霣	霣 𫕥
霧	雾
# @tofu-risk: not covered by PingFang/Source Han baseline: 𪵣 U+2AD63
霼	霼 𪵣
霽	霁
靂	雳
靄	霭
靆	叇
靈	灵
靉	叆
靚	靓
靜	静
靝	靔
靦	腼 䩄
