一万一千	一萬一千
总后勤部	總後勤部
总量管制	總量管制
恃才傲物	恃才傲物
恃才矜己	恃才矜己
恃才自专	恃才自專
恋恋不舍	戀戀不捨
恋恋难舍	戀戀難捨
恋生恶死	戀生惡死
恋酒贪杯	戀酒貪杯
恐后争先	恐後爭先
恒星周期	恆星週期
恒生指数	恒生指數
恒生银行	恒生銀行
恕乏价催	恕乏价催
恢复原状	恢復原狀
恢复名誉	恢復名譽
恢复常态	恢復常態
恢复起来	恢復起來
恢复过来	恢復過來
恢恢有余	恢恢有餘
恣心所欲	恣心所欲
恣情纵欲	恣情縱欲
恨意尽消	恨意盡消
恨苦修行	恨苦修行
恩克鲁玛	恩克魯瑪
恩同再造	恩同再造
恩同父母	恩同父母
恩威并施	恩威並施
恩威并济	恩威並濟
恩威并用	恩威並用
恩威并行	恩威並行
恩威并重	恩威並重
恩将仇报	恩將仇報
恩艾斯克	恩艾斯克
恬淡寡欲	恬淡寡欲
恬淡无欲	恬淡無欲
恭喜发财	恭喜發財
息交绝游	息交絕遊
恶习不改	惡習不改
恶作剧者	惡作劇者
恶劣影响	惡劣影響
恶化趋势	惡化趨勢
恶化顷向	惡化頃向
恶叉白赖	惡叉白賴
恶名昭彰	惡名昭彰
恶名昭著	惡名昭著
恶唑啉酮	惡唑啉酮
恶女阿楚	惡女阿楚
恶形恶状	惡形惡狀
恶性不改	惡性不改
恶性倒闭	惡性倒閉
恶性循环	惡性循環
恶性竞争	惡性競爭
恶性肿瘤	惡性腫瘤
恶性补习	惡性補習
恶性贫血	惡性貧血
恶恶从短	惡惡從短
恶恶实实	惡惡實實
恶意中伤	惡意中傷
恶意代码	惡意代碼
恶意毁谤	惡意毀謗
恶搞文化	惡搞文化
恶有善报	惡有善報
恶有恶报	惡有惡報
恶梦探侦	惡夢探偵
恶棍歹徒	惡棍歹徒
恶模恶样	惡模惡樣
恶湿居下	惡濕居下
恶直丑正	惡直醜正
恶眉恶眼	惡眉惡眼
恶积祸盈	惡積禍盈
恶稔祸盈	惡稔禍盈
恶稔罪盈	惡稔罪盈
恶稔贯盈	惡稔貫盈
恶紫夺朱	惡紫奪朱
恶缘恶业	惡緣惡業
恶臭扑鼻	惡臭撲鼻
恶衣恶食	惡衣惡食
恶衣粝食	惡衣糲食
恶衣菲食	惡衣菲食
恶衣蔬食	惡衣蔬食
恶言伤人	惡言傷人
恶言恶语	惡言惡語
恶言泼语	惡言潑語
恶言相向	惡言相向
恶言詈辞	惡言詈辭
恶语中伤	惡語中傷
恶语伤人	惡語傷人
恶语相向	惡語相向
恶贯满盈	惡貫滿盈
恶贯祸盈	惡貫禍盈
恶运当头	惡運當頭
恶醉强酒	惡醉強酒
恶霸地主	惡霸地主
恶霸成性	惡霸成性
悒郁不忿	悒鬱不忿
悒郁寡欢	悒鬱寡歡
悔不当初	悔不當初
悖入悖出	悖入悖出
悠哉游哉	悠哉遊哉
悠悠荡荡	悠悠盪盪
悠活丽致	悠活麗緻
悠然自适	悠然自適
悠闲自在	悠閒自在
悬岩峭壁	懸巖峭壁
悬心吊胆	懸心吊膽
悬挂国旗	懸掛國旗
悬旌万里	懸旌萬里
悬梁刺股	懸樑刺股
悬梁自尽	懸樑自盡
悬河注水	懸河注水
悬河注火	懸河注火
悬灯结彩	懸燈結彩
悬肠挂肚	懸腸掛肚
悬车致仕	懸車致仕
悬针垂露	懸針垂露
悭吝苦克	慳吝苦剋
悲不自胜	悲不自勝
悲喜交并	悲喜交並
悲悲戚戚	悲悲戚戚
悲欢合散	悲歡合散
悲欢离合	悲歡離合
悲歌当哭	悲歌當哭
悲泗淋漓	悲泗淋漓
悲犬咸阳	悲犬咸陽
悲痛欲绝	悲痛欲絕
悲秋伤春	悲秋傷春
惄如调饥	惄如調饑
情不自胜	情不自勝
情况证据	情況證據
情同一家	情同一家
情同手足	情同手足
情同骨肉	情同骨肉
情同鱼水	情同魚水
情孚意合	情孚意合
情感冲动	情感衝動
情投意合	情投意合
情报系统	情報系統
情文并茂	情文並茂
情有所钟	情有所钟
情有独钟	情有獨鐘
情溢于表	情溢於表
情至意尽	情至意盡
情面难却	情面難卻
惊恐万分	驚恐萬分
惊恐万状	驚恐萬狀
惊才绝艳	驚才絕豔
惊险百出	驚險百出
惟天可表	惟天可表
惨遭不幸	慘遭不幸
惩前毖后	懲前毖後
惩忿窒欲	懲忿窒欲
惩恶劝善	懲惡勸善
惩恶奖善	懲惡獎善
想不出来	想不出來
想个办法	想個辦法
想个方法	想個方法
想也别想	想也別想
想了又想	想了又想
想像出来	想像出來
想前顾后	想前顧後
想尽办法	想盡辦法
想尽方法	想盡方法
想干什么	想幹什麼
想当然耳	想當然耳
想都别想	想都別想
惹人注意	惹人注意
惹人注目	惹人注目
愁云惨雾	愁雲慘霧
愁容满面	愁容滿面
愈出愈奇	愈出愈奇
意出望外	意出望外
意切言尽	意切言盡
意切辞尽	意切辭盡
意前笔后	意前筆後
意合情投	意合情投
意大利面	意大利麵
意广才疏	意廣才疏
意得志满	意得志滿
意志消沈	意志消沈
意志消沉	意志消沉
意思表示	意思表示
意气相合	意氣相合
意气风发	意氣風發
意满志得	意滿志得
意犹未尽	意猶未盡
意见不合	意見不合
意识历程	意識歷程
意转心回	意轉心回
意里意思	意裏意思
感化饼干	感化餅乾
感同身受	感同身受
感恩不尽	感恩不盡
感慨万千	感慨萬千
感激万分	感激萬分
感激不尽	感激不盡
感觉出来	感覺出來
愤而行凶	憤而行兇
愧不敢当	愧不敢當
愿不愿意	願不願意
愿天下有	願天下有
愿寘诚念	願寘誠念
愿干一杯	願乾一杯
愿干这杯	願乾這杯
愿干那杯	願乾那杯
愿者上钩	願者上鉤
愿闻其详	願聞其詳
慈安太后	慈安太后
慈悲喜舍	慈悲喜捨
慈禧太后	慈禧太后
慌了手脚	慌了手腳
慌了神儿	慌了神兒
慌作一团	慌作一團
慌成一团	慌成一團
慌里慌张	慌里慌張
慢板情歌	慢板情歌
慰情胜无	慰情勝無
懵里懵懂	懵裏懵懂
懿范长昭	懿範長昭
戏彩娱亲	戲綵娛親
成功范例	成功範例
成千上万	成千上萬
成千成万	成千成萬
成千成百	成千成百
成千累万	成千累萬
成千论万	成千論萬
成团打块	成團打塊
成套出售	成套出售
成岩作用	成岩作用
成批出售	成批出售
成百上千	成百上千
成群打伙	成羣打夥
成群结伙	成羣結夥
成群结党	成羣結黨
成都卖卜	成都賣卜
我干一杯	我乾一杯
我醉欲眠	我醉欲眠
或系之牛	或繫之牛
战云密布	戰雲密佈
战云浓密	戰雲濃密
战前战后	戰前戰後
战地钟声	戰地鐘聲
战天斗地	戰天鬥地
战战栗栗	戰戰慄慄
战斗人员	戰鬥人員
战斗任务	戰鬥任務
战斗意志	戰鬥意志
战斗编组	戰鬥編組
战斗英雄	戰鬥英雄
战斗行为	戰鬥行爲
战斗轰炸	戰鬥轟炸
战斗队形	戰鬥隊形
战无不克	戰無不克
战无不胜	戰無不勝
战术导弹	戰術導彈
战术轰炸	戰術轟炸
战略伙伴	戰略伙伴
戚墅堰区	慼墅堰區
截发留宾	截髮留賓
截然不同	截然不同
截趾适履	截趾適履
截趾适屦	截趾適屨
戮力同心	戮力同心
戳脊梁骨	戳脊梁骨
戴克拉克	戴克拉克
戴发含齿	戴髮含齒
戴天之仇	戴天之仇
戴希穆克	戴希穆克
戴瑞克罗	戴瑞克羅
戴维斯杯	戴維斯杯
户口制度	戶口制度
户对门当	戶對門當
房屋修护	房屋修護
所剩无几	所剩無幾
所向披靡	所向披靡
所向无前	所向無前
所向无敌	所向無敵
所见略同	所見略同
所见而云	所見而云
所讥而云	所譏而云
所谓而云	所謂而云
扁锹形虫	扁鍬形蟲
扇叶蒲葵	扇葉蒲葵
手不释卷	手不釋卷
手写识别	手寫識別
手冢治虫	手冢治虫
手到回春	手到回春
手塚治虫	手冢治虫
手板葫芦	手板葫蘆
手足口症	手足口症
手面赚吃	手面賺吃
才为世出	才爲世出
才储八斗	才儲八斗
才兼文武	才兼文武
才勇兼优	才勇兼優
才华出众	才華出眾
才华横溢	才華橫溢
才华洋溢	才華洋溢
才华盖世	才華蓋世
才大难用	才大難用
才如史迁	才如史遷
才子佳人	才子佳人
才学兼优	才學兼優
才广妨身	才廣妨身
才当曹斗	才當曹斗
才得两年	纔得兩年
才微智浅	才微智淺
才德兼备	才德兼備
才思敏捷	才思敏捷
才气无双	才氣無雙
才气纵横	才氣縱橫
才气过人	才氣過人
才略过人	才略過人
才疏学浅	才疏學淺
才疏德薄	才疏德薄
才疏志大	才疏志大
才疏意广	才疏意廣
才疏计拙	才疏計拙
才短气粗	才短氣粗
才秀人微	才秀人微
才能干济	才能幹濟
才艺卓绝	才藝卓絕
才艺技能	才藝技能
才蔽识浅	才蔽識淺
才识过人	才識過人
才貌出众	才貌出眾
才貌双全	才貌雙全
才贯二酉	才貫二酉
才轻德薄	才輕德薄
才过子建	才過子建
才过屈宋	才過屈宋
才非玉润	才非玉潤
才高八斗	才高八斗
才高意广	才高意廣
才高气傲	才高氣傲
才高行厚	才高行厚
才高行洁	才高行潔
扎兰屯市	扎蘭屯市
扎好底子	紮好底子
扎实推进	紮實推進
扎尔达里	扎爾達里
扎手舞脚	扎手舞腳
扎扎实实	紮紮實實
扎格罗斯	扎格羅斯
扎欧扎翁	紮歐紮翁
扎眉扎眼	扎眉扎眼
扎脑门儿	扎腦門兒
扎赉特旗	扎賚特旗
扎马剌丁	紮馬剌丁
扎马鲁丁	紮馬魯丁
扎鲁特旗	扎魯特旗
扑个满怀	撲個滿懷
扑作教刑	扑作教刑
扑灭蚊虫	撲滅蚊蟲
扑通通冬	撲通通冬
扑面而来	撲面而來
打一个吞	打一個吞
打个前失	打個前失
打个千儿	打個千兒
打个沉儿	打個沉兒
打个照会	打個照會
打个照面	打個照面
打个问号	打個問號
打了偏手	打了偏手
打了半跪	打了半跪
打出吊入	打出弔入
打出头棍	打出頭棍
打击报复	打擊報復
打制石器	打製石器
打印范围	打印範圍
打发时间	打發時間
打太极拳	打太極拳
打家劫舍	打家劫舍
打心眼里	打心眼裏
打成一团	打成一團
打棍出箱	打棍出箱
打没头坛	打沒頭壇
打淨捞干	打淨撈乾
打破纪录	打破紀錄
打耳刮子	打耳刮子
打花胡哨	打花胡哨
打话不同	打話不同
打诨发科	打諢發科
打路庄板	打路莊板
打道回府	打道回府
打里打外	打裏打外
打里照外	打裏照外
扔在脑后	扔在腦後
托克托县	托克托縣
托克逊县	托克遜縣
托利党人	托利黨人
托利米尔	托利米爾
托勒密王	托勒密王
托古讽今	託古諷今
托塔天王	托塔天王
托尔斯泰	托爾斯泰
托拉博拉	托拉博拉
托斯卡尼	托斯卡尼
托木尔峰	托木爾峰
托比亚斯	托比亞斯
托洛斯基	托洛斯基
托洛茨基	托洛茨基
托登汉队	托登漢隊
托福考试	托福考試
托米欧佳	托米歐佳
托罗斯山	托羅斯山
托老中心	托老中心
托荤咸食	托葷鹹食
托足无门	托足無門
托辣斯法	托辣斯法
托运行李	托運行李
托里拆利	托裏拆利
托钵修会	托鉢修會
扣分标准	扣分標準
扩厂计划	擴廠計劃
扩大范围	擴大範圍
扩建工厂	擴建工廠
扩散出来	擴散出來
扪参历井	捫參歷井
扪隙发罅	捫隙發罅
扫地俱尽	掃地俱盡
扫地出门	掃地出門
扫田刮地	掃田刮地
扫眉才子	掃眉才子
扫荡残敌	掃蕩殘敵
扬名后世	揚名後世
扬名立万	揚名立萬
扬善去恶	揚善去惡
扬善隐恶	揚善隱惡
扬州清曲	揚州清曲
扬己露才	揚己露才
扭头折颈	扭頭折頸
扭成一团	扭成一團
扭摆不停	扭擺不停
扭曲作直	扭曲作直
扭转干坤	扭轉乾坤
扮装皇后	扮裝皇后
扯篷拉纤	扯篷拉縴
扯闲盘儿	扯閒盤兒
扳回一城	扳回一城
扶危救困	扶危救困
扶危济困	扶危濟困
扶同硬证	扶同硬證
扶同诖误	扶同詿誤
扶善惩恶	扶善懲惡
扶贫济困	扶貧濟困
批准下来	批准下來
批发价格	批發價格
批发市场	批發市場
找台阶下	找臺階下
找台阶儿	找臺階兒
承先启后	承先啓後
承前启后	承前啓後
承受不了	承受不了
承当不起	承當不起
承蒙关照	承蒙關照
承蒙指教	承蒙指教
承销价差	承銷價差
技术专科	技術專科
技术人员	技術人員
技术作物	技術作物
技术分析	技術分析
技术单位	技術單位
技术发展	技術發展
技术合作	技術合作
技术学院	技術學院
技术情报	技術情報
技术所限	技術所限
技术指导	技術指導
技术援助	技術援助
技术故障	技術故障
技术标准	技術標準
技术水准	技術水準
技术水平	技術水平
技术潜水	技術潛水
技术犯规	技術犯規
技术知识	技術知識
技术线型	技術綫型
技术装备	技術裝備
技术规范	技術規範
技术部门	技術部門
技术降落	技術降落
技术革命	技術革命
技术革新	技術革新
抄录下来	抄錄下來
抄录编目	抄錄編目
抄手游廊	抄手遊廊
把定了心	把定了心
把脸一板	把臉一板
把饭叫饥	把飯叫饑
抑制作用	抑制作用
抑制栽培	抑制栽培
抑恶扬善	抑惡揚善
抑郁不平	抑鬱不平
抑郁寡欢	抑鬱寡歡
抒情歌曲	抒情歌曲
抔土未干	抔土未乾
投井自尽	投井自盡
投影几何	投影幾何
投梭折齿	投梭折齒
投河自尽	投河自盡
投环自尽	投環自盡
投票表决	投票表決
投闲置散	投閒置散
抖了起来	抖了起來
抖搜精神	抖搜精神
抗干扰性	抗干擾性
抗忧郁药	抗憂鬱藥
抗战歌曲	抗戰歌曲
抗战胜利	抗戰勝利
抗拒不了	抗拒不了
抗病品种	抗病品種
抗病毒药	抗病毒藥
抗癌药物	抗癌藥物
抗组胺药	抗組胺藥
抗药能力	抗藥能力
抗逆转录	抗逆轉錄
折价出售	折價出售
折冲厌难	折衝厭難
折冲尊俎	折衝尊俎
折冲御侮	折衝禦侮
折冲樽俎	折衝樽俎
折半出售	折半出售
折叠起来	摺疊起來
折戟沈河	折戟沈河
折戟沉沙	折戟沉沙
折旧基金	折舊基金
折柳攀花	折柳攀花
折桂攀蟾	折桂攀蟾
折箭为盟	折箭爲盟
折箭为誓	折箭爲誓
折腰五斗	折腰五斗
折腰升斗	折腰升斗
折臂三公	折臂三公
折节下交	折節下交
折节下士	折節下士
折节向学	折節向學
折节待士	折節待士
折节礼士	折節禮士
折节读书	折節讀書
折衷主义	折衷主義
折衷家庭	折衷家庭
折衷方案	折衷方案
折衷鹦鹉	折衷鸚鵡
折足复𫗧	折足覆餗
折长补短	折長補短
折鼎复𫗧	折鼎覆餗
抚尸恸哭	撫尸慟哭
抚尸痛哭	撫屍痛哭
抚梁易柱	撫梁易柱
抚面痛哭	撫面痛哭
抛在脑后	拋在腦後
抛头露面	拋頭露面
抛妻别子	拋妻別子
抛尸露骨	拋屍露骨
抟击掀发	摶擊掀發
抟柱乘梁	摶柱乘梁
抟沙嚼蜡	摶沙嚼蠟
抟砂炼汞	摶砂煉汞
抢修工作	搶修工作
抢尽锋头	搶盡鋒頭
抢救出来	搶救出來
护发乳液	護髮乳液
报仇雪恨	報仇雪恨
报仇雪耻	報仇雪恥
报值挂号	報值掛號
报刊杂志	報刊雜誌
报告出来	報告出來
报国尽忠	報國盡忠
报复主义	報復主義
报复关税	報復關稅
报导出来	報導出來
报穷制裁	報窮制裁
报章杂志	報章雜誌
报表语言	報表語言
披发入山	披髮入山
披发垢面	披髮垢面
披发左衽	披髮左衽
披发涂面	披髮塗面
披发缨冠	披髮纓冠
披发藻目	披髮藻目
披头散发	披頭散髮
披挂上阵	披掛上陣
披挂绰鎗	披掛綽鎗
披榛采兰	披榛採蘭
披红挂彩	披紅掛綵
披肝挂胆	披肝掛膽
披针形叶	披針形葉
抬高身价	擡高身價
抱大足杆	抱大足桿
抱布贸丝	抱布貿絲
抱成一团	抱成一團
抱素怀朴	抱素懷樸
抱负水准	抱負水準
抵御外侮	抵禦外侮
抵押借款	抵押借款
抵挡不了	抵擋不了
抽油烟机	抽油煙機
抽蓄发电	抽蓄發電
拂钟无声	拂鐘無聲
拂面而来	拂面而來
担当不起	擔當不起
担当不过	擔當不過
担当起来	擔當起來
担饥受冻	擔飢受凍
拆迁范围	拆遷範圍
拈花摘叶	拈花摘葉
拉丁语系	拉丁語系
拉了一把	拉了一把
拉克替醇	拉克替醇
拉卜楞寺	拉卜楞寺
拉合尔市	拉合爾市
拉尔维克	拉爾維克
拉布拉他	拉布拉他
拉布拉多	拉布拉多
拉托维亚	拉托維亞
拉文克劳	拉文克勞
拉法叶舰	拉法葉艦
拉皮手术	拉皮手術
拉里加尼	拉里加尼
拉里拉尼	拉里拉尼
拉链工程	拉鍊工程
拌嘴斗舌	拌嘴鬥舌
拍出好戏	拍齣好戲
拍台拍凳	拍檯拍凳
拏云攫石	拏雲攫石
拒拿回扣	拒拿回扣
拔围出夫	拔圍出夫
拔地参天	拔地參天
拔宅上升	拔宅上昇
拔宅飞升	拔宅飛昇
拔羣出类	拔羣出類
拔羣出萃	拔羣出萃
拔萃出类	拔萃出類
拔萃出羣	拔萃出羣
拖延战术	拖延戰術
拖麻拽布	拖麻拽布
拗别搅炒	拗彆攪炒
拗曲作直	拗曲作直
拙于言词	拙於言詞
拙于言辞	拙於言辭
拚生尽死	拚生盡死
招供出来	招供出來
招待不周	招待不週
拟于不伦	擬於不倫
拦前断后	攔前斷後
拨万论千	撥萬論千
拨万轮千	撥萬輪千
拨乱之才	撥亂之才
拨云撩雨	撥雲撩雨
拨云睹日	撥雲睹日
拨云见日	撥雲見日
拨号系统	撥號系統
拨雨撩云	撥雨撩雲
拱手而别	拱手而別
拱手让出	拱手讓出
拼合版画	拼合版畫
拼图游戏	拼圖遊戲
拼字游戏	拼字遊戲
拼布图形	拼布圖形
拼板游戏	拼板遊戲
拼板玩具	拼板玩具
拼死拼活	拼死拼活
拼生尽死	拚生盡死
拼花地板	拼花地板
拼贴艺术	拼貼藝術
拽布披麻	拽布披麻
拽布拖麻	拽布拖麻
拿不出手	拿不出手
拿云捉月	拿雲捉月
拿云握雾	拿雲握霧
拿坡里号	拿坡里號
拿板弄势	拿板弄勢
挂一漏万	掛一漏萬
挂一漏百	掛一漏百
挂了幌子	掛了幌子
挂冠归里	掛冠歸里
挂冠求去	掛冠求去
挂冠而去	掛冠而去
挂印悬牌	掛印懸牌
挂印而逃	掛印而逃
挂名夫妻	掛名夫妻
挂在口上	掛在口上
挂在嘴上	掛在嘴上
挂在嘴边	掛在嘴邊
挂失止付	掛失止付
挂来挂去	掛來掛去
挂灯结彩	掛燈結綵
挂牌汇率	掛牌匯率
挂肚牵心	掛肚牽心
挂肚牵肠	掛肚牽腸
挂肠悬胆	掛腸懸膽
挂角读书	掛角讀書
指不胜屈	指不勝屈
指亲托故	指親托故
指向装置	指向裝置
指手划脚	指手劃腳
指日高升	指日高升
指标体系	指標體系
指水盟松	指水盟松
指破迷团	指破迷團
指纹纪录	指紋紀錄
指纹鉴定	指紋鑑定
指证历历	指證歷歷
按下不表	按下不表
按照字面	按照字面
按照计划	按照計劃
按理出牌	按理出牌
按表操课	按表操課
按质定价	按質定價
按需出版	按需出版
挑选出来	挑選出來
挖心搜胆	挖心搜膽
挖掘出来	挖掘出來
挖耳当招	挖耳當招
挚而有别	摯而有別
挟朋树党	挾朋樹黨
挠直为曲	撓直爲曲
挤兑出来	擠兌出來
挤成一团	擠成一團
挤昏了头	擠昏了頭
挥戈回日	揮戈回日
挥手告别	揮手告別
挥手致意	揮手致意
挨三顶五	挨三頂五
挨三顶四	捱三頂四
挨了过去	捱了過去
挨了过来	捱了過來
挨家挨户	挨家挨戶
挨山塞海	挨山塞海
挨打受气	挨打受氣
挨打受骂	挨打受罵
挨挨抢抢	挨挨搶搶
挨挨蹭蹭	挨挨蹭蹭
挨肩叠背	挨肩疊背
挨肩搭背	挨肩搭背
挨肩擦背	挨肩擦背
挨肩擦脸	挨肩擦臉
挨肩擦膀	挨肩擦膀
挨门挨户	挨門挨戶
挨门逐户	挨門逐戶
挨风缉缝	挨風緝縫
挨饥抵饿	捱飢抵餓
挨饿受冻	挨餓受凍
振聋发嘳	振聾發嘳
振聋发聩	振聾發聵
振荡电流	振盪電流
振荡电路	振盪電路
挹彼注兹	挹彼注茲
挹彼注此	挹彼注此
挺身而出	挺身而出
挽回不了	挽回不了
挽救不了	挽救不了
挽救儿童	挽救兒童
捉不胜捉	捉不勝捉
捉奸捉双	捉姦捉雙
捉奸见双	捉姦見雙
捉奸见床	捉姦見牀
捉摸不出	捉摸不出
捏造出来	捏造出來
捐赠盈余	捐贈盈餘
捕影系风	捕影繫風
捕虫堇菜	捕蟲堇菜
捕虫植物	捕蟲植物
捕风系影	捕風繫影
损兵折将	損兵折將
损军折将	損軍折將
损将折兵	損將折兵
换心手术	換心手術
换房旅游	換房旅遊
换肾手术	換腎手術
捣鬼吊白	搗鬼弔白
据为己有	據爲己有
据义履方	據義履方
据守天险	據守天險
据实以报	據實以報
据实相告	據實相告
据情办理	據情辦理
据牀指麾	據牀指麾
据理力争	據理力爭
据理而争	據理而爭
据险固守	據險固守
捶台拍凳	捶檯拍凳
捷众药业	捷眾藥業
捷运系统	捷運系統
掀了开来	掀了開來
掂梢折本	掂梢折本
授权范围	授權範圍
掊斗折衡	掊斗折衡
掌状复叶	掌狀複葉
排兵布阵	排兵布陣
排出作用	排出作用
排列组合	排列組合
排放系统	排放系統
排水系统	排水系統
排泄系统	排泄系統
排版系统	排版系統
排门挨户	排門挨戶
排除万难	排除萬難
掘墓鞭尸	掘墓鞭屍
探个究竟	探個究竟
探奇访胜	探奇訪勝
探寻胜迹	探尋勝蹟
探幽访胜	探幽訪勝
探骊获珠	探驪獲珠
掤扒吊栲	掤扒吊栲
接受不了	接受不了
接口规范	接口規範
接合生殖	接合生殖
接合菌纲	接合菌綱
接合起来	接合起來
接绍香烟	接紹香煙
接续香烟	接續香煙
控制不了	控制不了
控制单元	控制單元
控制范围	控制範圍
控制裕如	控制裕如
推定出来	推定出來
推干淨儿	推乾淨兒
推心致腹	推心致腹
推情准理	推情準理
推托之词	推托之詞
推演出来	推演出來
推算出来	推算出來
推舟于陆	推舟於陸
推诚布信	推誠布信
推诚布公	推誠布公
推辇归里	推輦歸里
推陈出新	推陳出新
推陈布新	推陳佈新
掩口卢胡	掩口盧胡
掩口胡卢	掩口胡盧
掩恶扬善	掩惡揚善
掩恶溢美	掩惡溢美
掩罪藏恶	掩罪藏惡
掩耳盗钟	掩耳盜鐘
掩面大哭	掩面大哭
掩面失色	掩面失色
掩面而泣	掩面而泣
掩面而过	掩面而過
措置失当	措置失當
措置得当	措置得當
措词不当	措詞不當
措辞不当	措辭不當
揉成一团	揉成一團
描写出来	描寫出來
描绘出来	描繪出來
提克瑞提	提克瑞提
提克里特	提克裏特
提出建议	提出建議
提出异议	提出異議
提出抗辩	提出抗辯
提学御史	提學御史
提心吊胆	提心吊膽
提拉米苏	提拉米蘇
提甕出汲	提甕出汲
提纯复壮	提純復壯
插架万轴	插架萬軸
插箭游营	插箭遊營
握云拿雾	握雲拿霧
握云携雨	握雲攜雨
握发吐哺	握髮吐哺
握发吐餐	握髮吐餐
握手极欢	握手極歡
握手道别	握手道別
握雨携云	握雨攜雲
握雾拿云	握霧拿雲
揣合逢迎	揣合逢迎
揣在怀里	揣在懷裏
揣奸把猾	揣奸把猾
揩台抹凳	揩檯抹凳
揽湿布衫	攬濕布衫
搋在怀里	搋在懷裏
搏砂炼汞	搏砂煉汞
搓粉团朱	搓粉團朱
搓粉抟朱	搓粉摶朱
搜奇抉怪	搜奇抉怪
搜奇访古	搜奇訪古
搜奇选妙	搜奇選妙
搜寻引擎	搜尋引擎
搜寻软体	搜尋軟體
搜扬仄陋	搜揚仄陋
搜扬侧陋	搜揚側陋
搜括一空	搜括一空
搜搜客网	搜搜客網
搜根剔齿	搜根剔齒
搜根究底	搜根究底
搜根问底	搜根問底
搜章擿句	搜章擿句
搜索前进	搜索前進
搜索半径	搜索半徑
搜索引擎	搜索引擎
搜索枯肠	搜索枯腸
搜索结果	搜索結果
搜索范围	搜索範圍
搜肠刮肚	搜腸刮肚
搞好关系	搞好關係
搤肮拊背	搤肮拊背
携云挈雨	攜雲挈雨
携云握雨	攜雲握雨
携手合作	攜手合作
携手同心	攜手同心
携手并肩	攜手並肩
搽穰卷儿	搽穰捲兒
摄录影机	攝錄影機
摄影艺术	攝影藝術
摆了一道	擺了一道
摆云锣儿	擺雲鑼兒
摆在心上	擺在心上
摆在眼前	擺在眼前
摆官架子	擺官架子
摆尾摇头	擺尾搖頭
摆开阵势	擺開陣勢
摆拨不下	擺撥不下
摆摆摇摇	擺擺搖搖
摆来摆去	擺來擺去
摆空架子	擺空架子
摆脱不了	擺脫不了
摆脱危机	擺脫危機
摆花架子	擺花架子
摆荡吊环	擺蕩吊環
摆荡起来	擺盪起來
摆袖却金	擺袖卻金
摆龙门阵	擺龍門陣
摇了一下	搖了一下
摇头摆尾	搖頭擺尾
摇头摆脑	搖頭擺腦
摇摆不定	搖擺不定
摇摇摆摆	搖搖擺擺
摇摇欲坠	搖搖欲墜
摇摇荡荡	搖搖蕩蕩
摇滚乐团	搖滾樂團
摇荡不停	搖盪不停
摊了人命	攤了人命
摔了一跤	摔了一跤
摔断了腿	摔斷了腿
摘伏发隐	摘伏發隱
摘奸发伏	摘奸發伏
摛藻雕章	摛藻雕章
摧兰折玉	摧蘭折玉
摧坚获丑	摧堅獲醜
摧志屈道	摧志屈道
摧枯折腐	摧枯折腐
摧眉折腰	摧眉折腰
摩厉以须	摩厲以須
摩托罗垃	摩托羅垃
摩托罗拉	摩托羅拉
摩托车组	摩托車組
摩擦系数	摩擦係數
摩肩如云	摩肩如雲
摩苏尔市	摩蘇爾市
摩诃迦叶	摩訶迦葉
摩里西斯	摩里西斯
撑头获脑	撐頭獲腦
撑杆跳高	撐桿跳高
撒克逊人	撒克遜人
撒马尔干	撒馬爾幹
撞个正著	撞個正著
撞个满怀	撞個滿懷
撞府冲州	撞府沖州
撞钟太岁	撞鐘太歲
撞阵冲军	撞陣衝軍
撤销记录	撤銷記錄
撩云拨雨	撩雲撥雨
播出频道	播出頻道
播恶遗臭	播惡遺臭
播放列表	播放列表
播放歌曲	播放歌曲
播种面积	播種面積
播越失据	播越失據
撮科打哄	撮科打哄
撺哄鸟乱	攛哄鳥亂
操作系统	操作系統
操作规范	操作規範
擎拳合掌	擎拳合掌
擒奸摘伏	擒奸摘伏
擒奸擿伏	擒奸擿伏
擒奸讨暴	擒奸討暴
擢发抽肠	擢髮抽腸
擢发难数	擢髮難數
擿埴索涂	擿埴索塗
擿奸发伏	擿奸發伏
攀亲引戚	攀親引戚
攀今吊古	攀今吊古
攀花折柳	攀花折柳
攀蟾折桂	攀蟾折桂
攧攧仆仆	攧攧仆仆
支出费用	支出費用
支撑不了	支撐不了
收发短信	收發短信
收回成命	收回成命
收复失土	收復失土
收复失地	收復失地
收复河山	收復河山
收录音机	收錄音機
收拾干淨	收拾乾淨
收盘价格	收盤價格
收盘汇率	收盤匯率
收购价格	收購價格
攸戚相关	攸戚相關
改了又改	改了又改
改变不了	改變不了
改善关系	改善關係
改头换面	改頭換面
改头換面	改頭換面
改恶向善	改惡向善
改良品种	改良品種
攻击范围	攻擊範圍
攻守同盟	攻守同盟
攻无不克	攻無不克
放出手眼	放出手眼
放在心里	放在心裏
放在眼里	放在眼裏
放大系数	放大係數
放射出来	放射出來
放松管制	放松管制
放烟幕弹	放煙幕彈
放荡不羁	放蕩不羈
放荡任气	放蕩任氣
放荡弛纵	放蕩弛縱
放马后炮	放馬後炮
放马后砲	放馬後砲
政党政治	政黨政治
政出多门	政出多門
政工干校	政工幹校
政教合一	政教合一
政治体制	政治體制
政治关系	政治關係
政治局面	政治局面
政治斗争	政治鬥爭
