一万二	一萬二
打胡哨	打胡哨
打蜡机	打蠟機
打谷场	打穀場
打谷机	打穀機
打造出	打造出
打野胡	打野胡
打量出	打量出
打靠后	打靠後
打风后	打風後
打饥荒	打饑荒
扔出去	扔出去
扔出来	扔出來
扔回去	扔回去
扔回来	扔回來
托人情	託人情
托儿所	託兒所
托克托	托克托
托克逊	托克遜
托勒密	托勒密
托勒尔	托勒爾
托勒玫	托勒玫
托塞洛	托塞洛
托尔金	托爾金
托拉司	托拉斯
托拉斯	托拉斯
托斯卡	托斯卡
托木尔	托木爾
托瑞丝	托瑞絲
托瑞赛	托瑞賽
托盘区	托盤區
托福考	托福考
托管国	托管國
托老院	托老院
托莱多	托萊多
托起来	托起來
托辣斯	托辣斯
托里县	托裏縣
托钵人	托鉢人
托钵僧	托鉢僧
托马斯	托馬斯
扛出去	扛出去
扛出来	扛出來
扛大梁	扛大樑
扣回去	扣回去
扣回来	扣回來
扣板机	扣板機
执政党	執政黨
执政团	執政團
执行面	執行面
扩张术	擴張術
扫出去	掃出去
扫出来	掃出來
扫干淨	掃乾淨
扫晴娘	掃晴娘
扭出去	扭出去
扭出来	扭出來
扯出去	扯出去
扯出来	扯出來
扯后腿	扯後腿
扯闲白	扯閒白
扯闲篇	扯閒篇
扰流板	擾流板
扶余县	扶余縣
扶余国	扶餘國
扶出去	扶出去
扶出来	扶出來
扶幼周	扶幼週
批准书	批准書
批准的	批准的
批出去	批出去
批出来	批出來
批发业	批發業
批发价	批發價
批发商	批發商
批发店	批發店
找不准	找不準
找不出	找不出
找借口	找借口
找出去	找出去
找出来	找出來
找出路	找出路
找台阶	找臺階
找回去	找回去
找回来	找回來
找寻出	找尋出
找面子	找面子
承平面	承平面
承销团	承銷團
技术员	技術員
技术团	技術團
技术士	技術士
技术处	技術處
技术官	技術官
技术性	技術性
技术部	技術部
技术面	技術面
技艺团	技藝團
抄后路	抄後路
抄录在	抄錄在
把上了	把上了
把你干	把你幹
把方才	把方纔
抑制剂	抑制劑
抑制器	抑制器
抑制酶	抑制酶
抑郁症	抑鬱症
抒情曲	抒情曲
抓不准	抓不準
抓出去	抓出去
抓出来	抓出來
抓回去	抓回去
抓回来	抓回來
投不准	投不準
投不出	投不出
投出去	投出去
投出来	投出來
投射出	投射出
投影面	投影面
投手板	投手板
投注站	投注站
抖出去	抖出去
抖出来	抖出來
抗癌药	抗癌藥
抗药性	抗藥性
抗菌药	抗菌藥
折上去	折上去
折上来	折上來
折下去	折下去
折下来	折下來
折不断	折不斷
折价券	折價券
折价卷	折價卷
折兑率	折兌率
折刀儿	折刀兒
折叠为	摺疊爲
折叠式	折疊式
折叠扇	摺疊扇
折叠椅	折疊椅
折叠牀	折疊牀
折合椅	折合椅
折向往	折向往
折回去	折回去
折回来	折回來
折壁脚	折壁腳
折子戏	折子戲
折射光	折射光
折射出	折射出
折射波	折射波
折射率	折射率
折射线	折射綫
折射角	折射角
折扣价	折扣價
折扣战	折扣戰
折扣率	折扣率
折损率	折損率
折旧率	折舊率
折旧费	折舊費
折现率	折現率
折算法	折算法
折算率	折算率
折纸工	摺紙工
折腰步	折腰步
折衷法	折衷法
折起来	折起來
折跟头	折跟頭
折过儿	折過兒
折返点	折返點
折进去	折進去
折进来	折進來
抚台街	撫台街
抚松县	撫松縣
抛出去	拋出去
抛出来	拋出來
抛物面	拋物面
抟风板	摶風板
抠出来	摳出來
护发素	護髮素
护壁板	護壁板
护理系	護理系
护面具	護面具
报价单	報價單
报出去	報出去
报出来	報出來
报名表	報名表
报复性	報復性
报废后	報廢後
报录人	報錄人
报税表	報稅表
报表纸	報表紙
抬出去	擡出去
抬出来	擡出來
抬回去	擡回去
抬回来	擡回來
抱出去	抱出去
抱出来	抱出來
抱出笼	抱出籠
抱回家	抱回家
抱回来	抱回來
抱抱团	抱抱團
抱朴子	抱朴子
押回去	押回去
押回来	押回來
押解回	押解回
抽公签	抽公籤
抽出去	抽出去
抽出来	抽出來
抽出空	抽出空
抽后腿	抽後腿
抽烟室	抽煙室
抽穗期	抽穗期
抽绎出	抽繹出
担仔面	擔仔麵
担干系	擔干係
担干纪	擔干紀
担担面	擔擔麵
拆出去	拆出去
拆出来	拆出來
拆回去	拆回去
拆回来	拆回來
拆封后	拆封後
拆白党	拆白黨
拈针指	拈針指
拉个手	拉個手
拉关系	拉關係
拉出去	拉出去
拉出来	拉出來
拉卜楞	拉卜楞
拉合子	拉合子
拉合尔	拉合爾
拉后腿	拉後腿
拉回去	拉回去
拉回来	拉回來
拉布拉	拉布拉
拉杆子	拉桿子
拉法叶	拉法葉
拉涅里	拉涅里
拉狄克	拉狄克
拉祖里	拉祖里
拉达克	拉達克
拉面上	拉面上
拉面具	拉面具
拉面前	拉面前
拉面巾	拉面巾
拉面店	拉麵店
拉面无	拉面無
拉面皮	拉面皮
拉面罩	拉面罩
拉面色	拉面色
拉面部	拉面部
拉饥荒	拉飢荒
拍出去	拍出去
拍出来	拍出來
拍卖价	拍賣價
拍摄出	拍攝出
拐出去	拐出去
拐出来	拐出來
拐回去	拐回去
拐回来	拐回來
拒人于	拒人於
拓朴学	拓樸學
拔不出	拔不出
拔出去	拔出去
拔出来	拔出來
拔回去	拔回去
拔回来	拔回來
拔山志	拔山志
拔山曲	拔山曲
拔萝卜	拔蘿蔔
拔虎须	拔虎鬚
拖出去	拖出去
拖出来	拖出來
拖吊车	拖吊車
拖后腿	拖後腿
拖回去	拖回去
拖回来	拖回來
拖地板	拖地板
拖干淨	拖乾淨
拖板车	拖板車
拖鞋柜	拖鞋櫃
拘泥于	拘泥於
拚命干	拚命幹
招出来	招出來
招回去	招回去
招回来	招回來
拜占庭	拜占庭
拟卤素	擬鹵素
拟定出	擬定出
拨出去	撥出去
拨出来	撥出來
拨回去	撥回去
拨回来	撥回來
拨蜡法	撥蠟法
括弧里	括弧裏
拱极星	拱極星
拳击台	拳擊臺
拷克机	拷克機
拼了命	拼了命
拼凑出	拼湊出
拼出去	拼出去
拼出来	拼出來
拼列出	拼列出
拼回去	拼回去
拼回来	拼回來
拼板胶	拼板膠
拼板舟	拼板舟
拼缀出	拼綴出
拼老命	拚老命
拿下表	拿下錶
拿下钟	拿下鐘
拿不了	拿不了
拿不准	拿不准
拿云手	拿雲手
拿出去	拿出去
拿出手	拿出手
拿出来	拿出來
拿回去	拿回去
拿回家	拿回家
拿回来	拿回來
拿坡里	拿坡里
拿枪杆	拿槍桿
拿波里	拿波里
拿破仑	拿破崙
拿笔杆	拿筆桿
挂一挂	掛一掛
挂上去	掛上去
挂上来	掛上來
挂上钩	掛上鉤
挂下去	掛下去
挂下来	掛下來
挂不上	掛不上
挂不下	掛不下
挂不住	掛不住
挂出去	掛出去
挂出来	掛出來
挂号信	挂號信
挂号处	掛號處
挂号证	掛號證
挂号费	掛號費
挂味儿	掛味兒
挂回去	掛回去
挂回来	掛回來
挂图表	掛圖表
挂坠盒	挂墜盒
挂头牌	掛頭牌
挂幌子	掛幌子
挂招牌	掛招牌
挂杯架	掛杯架
挂球蛋	掛球蛋
挂红灯	掛紅燈
挂络儿	掛絡兒
挂羊头	掛羊頭
挂落儿	掛落兒
挂衣冠	挂衣冠
挂衣架	掛衣架
挂衣钩	掛衣鉤
挂货铺	掛貨鋪
挂起来	掛起來
挂过去	掛過去
挂过来	掛過來
挂进去	掛進去
挂进来	掛進來
挂钩儿	挂鉤兒
挂钩子	掛鉤子
挂镜儿	掛鏡兒
挂龙雨	掛龍雨
指北针	指北針
指南针	指南針
指回到	指回到
指回去	指回去
指回来	指回來
指定曲	指定曲
指挥台	指揮台
指极星	指極星
指示板	指示板
指认出	指認出
指针式	指針式
按出去	按出去
按出来	按出來
按回去	按回去
按回来	按回來
按计划	按計劃
挑了只	挑了隻
挑出去	挑出去
挑出来	挑出來
挑口板	挑口板
挑大梁	挑大樑
挑拣出	挑揀出
挑正梁	挑正梁
挑选出	挑選出
挖出去	挖出去
挖出来	挖出來
挖掘出	挖掘出
挡不了	擋不了
挡回去	擋回去
挡回来	擋回來
挡泥板	擋泥板
挡雨板	擋雨板
挣扎表	掙扎表
挤出去	擠出去
挤出来	擠出來
挤压出	擠壓出
挤身于	擠身於
挥发性	揮發性
挥发油	揮發油
挥发物	揮發物
挥手表	揮手表
挨上去	挨上去
挨不上	挨不上
挨个儿	挨個兒
挨了揍	挨了揍
挨亲儿	挨親兒
挨人儿	挨人兒
挨刀的	挨刀的
挨呲儿	挨呲兒
挨头子	挨頭子
挨得住	捱得住
挨挨儿	挨挨兒
挨日子	捱日子
挨时间	捱時間
挨板子	挨板子
挨棍子	挨棍子
挨肩儿	挨肩兒
挨边儿	挨邊兒
挨过去	捱過去
挨过来	捱過來
挫折感	挫折感
振荡器	振盪器
挺出去	挺出去
挺出来	挺出來
挽手儿	挽手兒
挽歌郎	挽歌郎
挽眉毛	挽眉毛
挽脸师	挽臉師
挽麦子	挽麥子
捉不准	捉不準
捉奸党	捉奸黨
捉奸徒	捉奸徒
捉奸细	捉奸細
捉奸贼	捉奸賊
捋虎须	捋虎鬚
捏不准	捏不準
捏造出	捏造出
捏面人	捏麵人
捐出去	捐出去
捐出来	捐出來
捐益表	捐益表
捕虏岩	捕虜岩
捕虫叶	捕蟲葉
捕虫灯	捕蟲燈
捕虫网	捕蟲網
损益表	損益表
捡回去	撿回去
捡回来	撿回來
换个儿	換個兒
换出去	換出去
换出来	換出來
换向器	換向器
换回去	換回去
换回来	換回來
换挡杆	換擋桿
换档杆	換檔桿
换算表	換算表
捧出去	捧出去
捧出来	捧出來
据了解	據瞭解
据传说	據傳說
据估计	據估計
据我看	據我看
据报导	據報導
据报道	據報道
据统计	據統計
据说在	據說在
据说是	據說是
据说有	據說有
捷克人	捷克人
捷克籍	捷克籍
捷克语	捷克語
捷克队	捷克隊
掀出去	掀出去
掀出来	掀出來
掀帘子	掀簾子
掉价儿	掉價兒
掉出来	掉出來
掉回头	掉回頭
掌柜的	掌櫃的
掏出来	掏出來
排出体	排出體
排出去	排出去
排出来	排出來
排名表	排名表
排放出	排放出
排档杆	排檔桿
排骨面	排骨麵
掘出来	掘出來
探出去	探出去
探出来	探出來
探听出	探聽出
探寻出	探尋出
探知欲	探知慾
探究出	探究出
探询出	探詢出
掣后腿	掣後腿
接关系	接關係
接合上	接合上
接合处	接合處
接合点	接合點
接合面	接合面
接回去	接回去
接回来	接回來
接生术	接生術
接种率	接種率
接触面	接觸面
接近于	接近於
控制住	控制住
控制力	控制力
控制区	控制區
控制卡	控制卡
控制台	控制臺
控制器	控制器
控制塔	控制塔
控制好	控制好
控制室	控制室
控制性	控制性
控制权	控制權
控制杆	控制桿
控制板	控制板
控制棒	控制棒
控制欲	控制慾
控制码	控制碼
控制站	控制站
控制组	控制組
控制论	控制論
控制键	控制鍵
推出去	推出去
推出来	推出來
推回去	推回去
推回来	推回來
推想出	推想出
推断出	推斷出
推派出	推派出
推算出	推算出
推销术	推銷術
描写出	描寫出
描出来	描出來
描绘出	描繪出
提不出	提不出
提出去	提出去
提出来	提出來
提升为	提升爲
提升到	提升到
提回去	提回去
提回来	提回來
提子干	提子乾
提炼出	提煉出
提舍尼	提舍尼
插回去	插回去
插回来	插回來
插图卷	插圖卷
插足于	插足於
握不准	握不準
揪出去	揪出去
揪出来	揪出來
揭发出	揭發出
揭示板	揭示板
揭露出	揭露出
揽胜图	攬勝圖
揽闲事	攬閒事
搁脚板	擱腳板
搜寻到	搜尋到
搜捕到	搜捕到
搜搜客	搜搜客
搜救犬	搜救犬
搜査证	搜査證
搜狐网	搜狐網
搜神记	搜神記
搜索到	搜索到
搜索票	搜索票
搜索队	搜索隊
搜藏家	蒐藏家
搜集到	蒐集到
搞出来	搞出來
搞糊涂	搞糊塗
搢绅录	搢紳錄
搬出去	搬出去
搬出来	搬出來
搬回去	搬回去
搬回来	搬回來
搭克露	搭克露
搭干铺	搭乾鋪
搭机回	搭機回
搯出来	搯出來
摄制厂	攝製廠
摄制成	攝製成
摄影术	攝影術
摆上去	擺上去
摆上来	擺上來
摆下去	擺下去
摆下来	擺下來
摆不下	擺不下
摆不平	擺不平
摆不开	擺不開
摆乌龙	擺烏龍
摆出去	擺出去
摆出来	擺出來
摆列出	擺列出
摆动波	擺動波
摆回去	擺回去
摆回来	擺回來
摆地摊	擺地攤
摆姿势	擺姿勢
摆摆头	擺擺頭
摆摆手	擺擺手
摆摊儿	擺攤兒
摆摊子	擺攤子
摆擂台	擺擂臺
摆放在	擺放在
摆架子	擺架子
摆样子	擺樣子
摆浪子	擺浪子
摆渡船	擺渡船
摆脱到	擺脫到
摆行阵	擺行陣
摆设儿	擺設兒
摆请儿	擺請兒
摆谱儿	擺譜兒
摆起来	擺起來
摆进去	擺進去
摆进来	擺進來
摆酒席	擺酒席
摆门子	擺門子
摆门面	擺門面
摆阔气	擺闊氣
摇摆乐	搖擺樂
摇摆舞	搖擺舞
摇滚团	搖滾團
摇篮曲	搖籃曲
摊了事	攤了事
摊出去	攤出去
摊出来	攤出來
摔断了	摔斷了
摔筋斗	摔筋斗
摔跟斗	摔跟斗
摘出去	摘出去
摘出来	摘出來
摘录自	摘錄自
摘绵术	摘綿術
摩合罗	摩合羅
摩托化	摩托化
摩托船	摩托船
摩托车	摩托車
摩苏尔	摩蘇爾
摸不准	摸不準
摸出去	摸出去
摸出来	摸出來
摸彩券	摸彩券
摸彩品	摸彩品
摸彩箱	摸彩箱
摸索出	摸索出
摹扎特	摹紮特
撑场面	撐場面
撑市面	撐市面
撑杆跳	撐桿跳
撑门面	撐門面
撒克逊	撒克遜
撒呓症	撒囈症
撞出去	撞出去
撞出来	撞出來
撞木钟	撞木鐘
撞球台	撞球檯
撞球杆	撞球桿
撞警钟	撞警鐘
撤出去	撤出去
撤出来	撤出來
撤回去	撤回去
撤回来	撤回來
撩虎须	撩虎鬚
撬出去	撬出去
撬出来	撬出來
播出去	播出去
播出来	播出來
播种期	播種期
播种机	播種機
播种法	播種法
撮合山	撮合山
撰出来	撰出來
撵出去	攆出去
撵出来	攆出來
擀面杖	擀麵杖
擂台赛	擂臺賽
擅长于	擅長於
操作台	操作台
操作钟	操作鐘
操纵台	操縱臺
操纵杆	操縱桿
操船术	操船術
擦俊药	擦俊藥
擦出爱	擦出愛
擦干净	擦乾淨
擦干淨	擦乾淨
擦碗布	擦碗布
擦面子	擦面子
攀关系	攀關係
支努干	支努干
支系统	支系統
收出去	收出去
收出来	收出來
收发器	收發器
收发室	收發室
收发站	收發站
收回到	收回到
收回去	收回去
收回来	收回來
收录在	收錄在
收款台	收款臺
收盘价	收盤價
收获节	收穫節
收获量	收穫量
收购价	收購價
收银台	收銀台
改不了	改不了
改制为	改制爲
改回去	改回去
改回来	改回來
改良种	改良種
攻击面	攻擊面
放出去	放出去
放出来	放出來
放回去	放回去
放学后	放學後
放射出	放射出
放射虫	放射蟲
放屁虫	放屁蟲
放暗箭	放暗箭
放烟幕	放煙幕
放烟火	放煙火
放蒙挣	放懞掙
放轻松	放輕鬆
政治系	政治系
政治面	政治面
政策面	政策面
故事里	故事裏
效价能	效價能
敌占区	敵佔區
敌后方	敵後方
敌百虫	敵百蟲
敏于伎	敏於伎
救出去	救出去
救出来	救出來
救回去	救回去
救回来	救回來
救国团	救國團
教准部	教準部
教学钟	教學鐘
教练团	教練團
教育系	教育系
敢出去	敢出去
敢出来	敢出來
敢情欲	敢情欲
散发出	散發出
散布开	散佈開
散布者	散佈者
数万人	數萬人
数万元	數萬元
数不尽	數不盡
数位板	數位板
数十万	數十萬
数千万	數千萬
数千亿	數千億
数天后	數天後
数字钟	數字鐘
数学系	數學系
数据卡	數據卡
数据库	數據庫
数据机	數據機
数据段	數據段
数据流	數據流
数据源	數據源
数据链	數據鏈
数百万	數百萬
敲丧钟	敲喪鐘
整个人	整個人
整个月	整個月
整修费	整修費
整出剧	整齣劇
整出戏	整齣戲
整合出	整合出
整合到	整合到
整合商	整合商
整合型	整合型
整合式	整合式
整合性	整合性
整合成	整合成
整合法	整合法
整型术	整型術
整容术	整容術
整形术	整形術
整杯水	整杯水
整杯茶	整杯茶
整杯酒	整杯酒
整根烟	整根煙
整理出	整理出
整风后	整風後
敷面膜	敷面膜
敹一针	敹一針
文件柜	文件櫃
文复会	文復會
文学系	文學系
文征明	文徵明
文曲星	文曲星
文汇报	文匯報
文汇阁	文匯閣
斗一斗	鬥一鬥
斗不过	鬥不過
斗争性	鬥爭性
斗六市	斗六市
斗内力	鬥內力
斗分子	鬥分子
斗别气	鬥彆氣
斗十余	鬥十餘
斗南镇	斗南鎮
斗口齿	鬥口齒
斗叶儿	鬥葉兒
斗叶子	鬥葉子
斗地主	鬥地主
斗小马	斗小馬
斗尾港	斗尾港
斗幌子	鬥幌子
斗心眼	鬥心眼
斗批改	鬥批改
斗斗嘴	鬥鬥嘴
斗烟丝	斗煙絲
斗牛㹴	鬥牛㹴
斗牛场	鬥牛場
斗牛士	鬥牛士
斗牛梗	鬥牛梗
斗牛赛	鬥牛賽
斗牛阵	鬥牛陣
斗犀台	鬥犀臺
斗百余	鬥百餘
斗百草	鬥百草
斗筲役	斗筲役
斗蓬装	斗蓬裝
斗蟋蟀	鬥蟋蟀
斗起来	鬥起來
斗趣儿	鬥趣兒
斗门区	斗門區
斗闲气	鬥閒氣
斗闷子	鬥悶子
斗雪红	鬥雪紅
斗鸡台	鬥雞臺
斗鸡场	鬥雞場
斗鸡眼	鬥雞眼
斗鹌鹑	鬥鵪鶉
料不准	料不準
斜对面	斜對面
斜管面	斜管麵
斜纹布	斜紋布
断不了	斷不了
断仇谷	斷仇谷
断后路	斷後路
断头台	斷頭臺
断面图	斷面圖
斯当东	斯當東
斯诺克	斯諾克
斯迪里	斯迪里
新丰乡	新豐鄉
新丰县	新豐縣
新丰酒	新豐酒
新余市	新餘市
新出土	新出土
新出来	新出來
新出炉	新出爐
新出生	新出生
新制度	新制度
新单曲	新單曲
新历史	新歷史
新发明	新發明
新发村	新發村
新台币	新臺幣
新娘子	新娘子
新娘花	新娘花
新娘车	新娘車
新嫁娘	新嫁娘
新局面	新局面
新干县	新干縣
新干线	新幹綫
新庄市	新莊市
新德里	新德里
新技术	新技術
新报台	新報台
新注音	新注音
新纪录	新紀錄
新胜利	新勝利
新艺术	新藝術
新芬党	新芬黨
新规范	新規範
新闻台	新聞台
新闻系	新聞系
新集团	新集團
新面孔	新面孔
方便面	方便麵
方公里	方公里
方向仪	方向儀
方向往	方向往
方向性	方向性
方向感	方向感
方向灯	方向燈
方向盘	方向盤
方向线	方向綫
方向舵	方向舵
方彩绫	方彩綾
方志友	方志友
方志贤	方志賢
方言志	方言志
方面官	方面官
於夫罗	於夫羅
於夫羅	於夫羅
於梨華	於梨華
施佳升	施佳昇
施瓦布	施瓦布
施耐庵	施耐庵
旁系亲	旁系親
旅游业	旅遊業
旅游书	旅遊書
旅游区	旅遊區
旅游卡	旅遊卡
旅游史	旅遊史
旅游团	旅遊團
旅游客	旅遊客
旅游局	旅遊局
旅游展	旅遊展
旅游村	旅遊村
旅游点	旅遊點
旅游界	旅遊界
旅游社	旅遊社
旅游线	旅遊綫
旅游网	旅遊網
旅游者	旅遊者
旅游馆	旅遊館
旅程表	旅程表
旅行团	旅行團
旋毛虫	旋毛蟲
旋转台	旋轉台
旋转极	旋轉極
无主尸	無主屍
无价事	無价事
无价宝	無價寶
无党派	無黨派
无党籍	無黨籍
无农药	無農藥
无助于	無助於
无厘头	無厘頭
无回豁	無回豁
无头愿	無頭願
无尽期	無盡期
无尽藏	無盡藏
无尿症	無尿症
无店面	無店面
无异于	無異於
无愧于	無愧於
无损于	無損於
无期别	無期別
无极县	無極縣
无梁斗	無梁斗
无止尽	無止盡
无烟炭	無煙炭
无烟煤	無煙煤
无畏于	無畏於
无穷尽	無窮盡
无表情	無表情
无视于	無視於
无计向	無計向
无限制	無限制
无面目	無面目
日历史	日歷史
日历年	日歷年
日历纸	日曆紙
日历经	日歷經
日历表	日曆表
日均价	日均價
日子里	日子裏
日文系	日文系
日本制	日本製
日本台	日本台
日本团	日本團
日番谷	日番谷
日知录	日知錄
日程表	日程表
日语系	日語系
旧公烟	舊公煙
旧制度	舊制度
旧历史	舊歷史
旧历年	舊曆年
旧皇历	舊皇曆
旧钟表	舊鐘錶
早自修	早自修
旱烟筒	旱煙筒
旱烟袋	旱煙袋
时刻表	時刻表
时宪历	時憲曆
时尚周	時尚週
时干下	時幹下
时程表	時程表
时装周	時裝週
时钟座	時鐘座
时间表	時間表
时间里	時間裏
昂纳克	昂納克
昆仑山	昆崙山
昆虫学	昆蟲學
昆虫纲	昆蟲綱
昆都仑	昆都侖
明后天	明後天
明实录	明實錄
明摆着	明擺著
明斯克	明斯克
明确性	明確性
明细表	明細表
易克制	易剋制
易卜生	易卜生
易容术	易容術
易游网	易遊網
星云表	星雲表
星占学	星占學
星历史	星歷史
星历表	星曆錶
星巴克	星巴克
星期几	星期幾
星期后	星期後
星相术	星相術
星系团	星系團
星系羣	星系羣
星辰表	星辰錶
映照出	映照出
春假里	春假裏
春卷皮	春捲皮
春天里	春天裏
春日里	春日裏
春秋儿	春秋兒
春秋榜	春秋榜
春秋配	春秋配
春风面	春風面
昨夜里	昨夜裏
昭苏县	昭蘇縣
是干的	是乾的
昴星团	昴星團
显现出	顯現出
显示出	顯示出
显示板	顯示板
显示表	顯示錶
显示钟	顯示鐘
显露出	顯露出
晋升为	晉升爲
晋阳秋	晉陽秋
晏几道	晏幾道
晒图纸	曬圖紙
晒谷场	曬穀場
晕船药	暈船藥
晕血症	暈血症
晕车药	暈車藥
普冬冬	普鼕鼕
普庵咒	普庵咒
普朗克	普朗克
普隆克	普隆克
景谷县	景谷縣
晴雨表	晴雨表
晶圆厂	晶圓廠
智囊团	智囊團
智慧板	智慧板
暂并列	暫並列
暑修班	暑修班
暑假里	暑假裏
暖云兜	暖雲兜
暖气团	暖氣團
暖色系	暖色系
暗下去	暗下去
暗下来	暗下來
暗光鸟	暗光鳥
暗公鸟	暗公鳥
暗反应	暗反應
暗号灯	暗號燈
暗地里	暗地裏
暗底下	暗底下
暗星云	暗星雲
暗杀党	暗殺黨
暗杀案	暗殺案
暗楼子	暗樓子
暗沈沈	暗沈沈
暗沟里	暗溝裏
暗灰色	暗灰色
暗电流	暗電流
暗紫色	暗紫色
暗红色	暗紅色
暗色彩	暗色彩
暗花儿	暗花兒
暗蓝发	闇藍髮
暗藏着	暗藏着
暗褐色	暗褐色
暗记儿	暗記兒
暗适应	暗適應
暗门子	暗門子
暗间儿	暗間兒
暗顺应	暗順應
暗黑王	暗黑王
暴发户	暴發戶
暴露出	暴露出
暴食症	暴食症
曝光表	曝光表
曝露出	曝露出
曲别针	曲別針
曲周县	曲周縣
曲射炮	曲射炮
曲希瑞	曲希瑞
曲松县	曲松縣
曲柄笠	曲柄笠
曲柄钻	曲柄鑽
曲棍球	曲棍球
曲水县	曲水縣
曲江区	曲江區
曲江县	曲江縣
曲江宴	曲江宴
曲江池	曲江池
曲池穴	曲池穴
曲沃县	曲沃縣
曲秀才	麴秀才
曲线图	曲綫圖
曲线板	曲綫板
曲线美	曲綫美
曲线论	曲綫論
曲膝礼	曲膝禮
曲艾玲	曲艾玲
曲躬躬	曲躬躬
曲辫子	曲辮子
曲道士	麴道士
曲道赛	曲道賽
曲阜县	曲阜縣
曲阜市	曲阜市
曲阳县	曲陽縣
曲靖市	曲靖市
曲面论	曲面論
曲项目	曲項目
曲颈瓶	曲頸瓶
曲颈甑	曲頸甑
曲麻莱	曲麻萊
更动表	更動表
更愿意	更願意
更甚于	更甚於
曹余章	曹餘章
曹郁芬	曹郁芬
曼苏尔	曼蘇爾
曼谷人	曼谷人
曼谷包	曼谷包
曼谷市	曼谷市
曾台霖	曾台霖
曾孝谷	曾孝谷
曾志伟	曾志偉
曾志朗	曾志朗
曾砚闲	曾硯閒
最上面	最上面
最下面	最下面
最低价	最低價
最低谷	最低谷
最前面	最前面
最后面	最後面
最适化	最適化
最适合	最適合
最里面	最裏面
會干擾	會干擾
月光曲	月光曲
月历史	月歷史
月台票	月臺票
月桂叶	月桂葉
月牙铲	月牙鏟
月相表	月相錶
有个人	有個人
有了胎	有了胎
有价值	有價值
有关于	有關於
有关系	有關係
有准儿	有準兒
有出入	有出入
有出息	有出息
有利于	有利於
有别于	有別於
有助于	有助於
有勾当	有勾當
有只不	有只不
有只允	有只允
有只容	有只容
有只採	有只採
有只是	有只是
有只用	有只用
有只采	有只採
有够赞	有夠讚
有孔虫	有孔蟲
有害于	有害於
有征伐	有征伐
有征战	有征戰
有征服	有征服
有征讨	有征討
有志于	有志於
有志气	有志氣
有恒街	有恒街
有意志	有意志
有感于	有感於
有才干	有才幹
有损于	有損於
有栖川	有栖川
有烟煤	有煙煤
有益于	有益於
有种人	有種人
有系统	有系統
有联系	有聯繫
有脸面	有臉面
有致癌	有致癌
有节制	有節制
有计划	有計劃
有赖于	有賴於
有鉴于	有鑑於
有针线	有針綫
有面儿	有面兒
朋党论	朋黨論
服从于	服從於
服务于	服務於
服务台	服務臺
服务团	服務團
服用药	服用藥
服装周	服裝週
服饰周	服飾週
望乡台	望鄉臺
望了望	望了望
望出去	望出去
望后石	望后石
望弥撒	望彌撒
望楼台	望樓台
朝东面	朝東面
朝北面	朝北面
朝南面	朝南面
朝圣团	朝聖團
朝西面	朝西面
期货价	期貨價
木制品	木製品
木心板	木心板
木板凳	木板凳
木板地	木板地
木板墙	木板牆
木板牀	木板牀
木板画	木板畫
木芍药	木芍藥
木表法	木表法
木雕像	木雕像
木雕家	木雕家
木雕师	木雕師
木雕节	木雕節
未了因	未了因
未了情	未了情
未了缘	未了緣
未出去	未出去
未出来	未出來
未出货	未出貨
未发货	未發貨
未折现	未折現
未易才	未易才
未松下	未鬆下
未确定	未確定
未获得	未獲得
末末了	末末了
本位制	本位制
本周一	本週一
本周三	本週三
本周二	本週二
本周五	本週五
本周六	本週六
本周四	本週四
本垒板	本壘板
本征值	本徵值
本报台	本報台
本杰明	本傑明
本科系	本科系
札夸威	札夸威
札板儿	札板兒
朱一贵	朱一貴
朱丽亚	朱麗亞
朱丽叶	朱麗葉
朱书麟	朱書麟
朱买臣	朱買臣
朱云鹏	朱雲鵬
朱仑街	朱崙街
朱仙镇	朱仙鎮
朱俊彰	朱俊彰
朱俊晓	朱俊曉
朱允炆	朱允炆
朱元璋	朱元璋
朱元祥	朱元祥
朱全忠	朱全忠
朱兴荣	朱興榮
朱凤芝	朱鳳芝
朱利娅	朱利娅
朱利安	朱利安
朱印本	朱印本
朱古力	朱古力
朱咏薇	朱詠薇
朱哲琴	朱哲琴
朱培庆	朱培慶
朱墨本	朱墨本
朱士行	朱士行
朱天文	朱天文
朱婉琪	朱婉琪
朱子学	朱子學
朱孝天	朱孝天
朱宏瑜	朱宏瑜
朱宗庆	朱宗慶
朱家兴	朱家興
朱家彦	朱家彥
朱家欣	朱家欣
朱家鼎	朱家鼎
朱容基	朱容基
朱尉铭	朱尉銘
朱尔典	朱爾典
朱尔金	朱爾金
朱尼奥	朱尼奧
朱巴一	朱巴一
朱希真	朱希真
朱广沪	朱廣滬
朱庆余	朱慶餘
朱庆馀	朱慶餘
朱庇特	朱庇特
朱延平	朱延平
朱彝尊	朱彝尊
朱执信	朱執信
朱敦儒	朱敦儒
朱敬一	朱敬一
朱文庆	朱文慶
朱智勳	朱智勳
朱朝亮	朱朝亮
朱木炎	朱木炎
朱柏庐	朱柏廬
朱比特	朱比特
朱永弘	朱永弘
朱泽民	朱澤民
朱洪武	朱洪武
朱淑真	朱淑真
朱熔基	朱熔基
朱由校	朱由校
朱瞻基	朱瞻基
朱砂痣	硃砂痣
朱砂符	朱砂符
朱砂红	硃砂紅
朱祁钰	朱祁鈺
朱祁镇	朱祁鎮
